population,trapyear,assigned,HOR-3,HOR-4,HOR-5,NOR-3,NOR-4,NOR-5
UGR,1991,HOR-3,1,0,0,0,0,0
UGR,1991,HOR-4,0,1,0,0,0,0
UGR,1991,HOR-5,0,0,1,0,0,0
UGR,1991,NOR-3,0,0,0,1,0,0
UGR,1991,NOR-4,0,0,0,0,1,0
UGR,1991,NOR-5,0,0,0,0,0,1
UGR,1992,HOR-3,1,0,0,0,0,0
UGR,1992,HOR-4,0,1,0,0,0,0
UGR,1992,HOR-5,0,0,1,0,0,0
UGR,1992,NOR-3,0,0,0,1,0,0
UGR,1992,NOR-4,0,0,0,0,1,0
UGR,1992,NOR-5,0,0,0,0,0,1
UGR,1993,HOR-3,1,0,0,0,0,0
UGR,1993,HOR-4,0,1,0,0,0,0
UGR,1993,HOR-5,0,0,1,0,0,0
UGR,1993,NOR-3,0,0,0,1,0,0
UGR,1993,NOR-4,0,0,0,0,1,0
UGR,1993,NOR-5,0,0,0,0,0,1
UGR,1994,HOR-3,1,0,0,0,0,0
UGR,1994,HOR-4,0,1,0,0,0,0
UGR,1994,HOR-5,0,0,1,0,0,0
UGR,1994,NOR-3,0,0,0,1,0,0
UGR,1994,NOR-4,0,0,0,0,1,0
UGR,1994,NOR-5,0,0,0,0,0,1
UGR,1995,HOR-3,1,0,0,0,0,0
UGR,1995,HOR-4,0,1,0,0,0,0
UGR,1995,HOR-5,0,0,1,0,0,0
UGR,1995,NOR-3,0,0,0,1,0,0
UGR,1995,NOR-4,0,0,0,0,1,0
UGR,1995,NOR-5,0,0,0,0,0,1
UGR,1996,HOR-3,1,0,0,0,0,0
UGR,1996,HOR-4,0,1,0,0,0,0
UGR,1996,HOR-5,0,0,1,0,0,0
UGR,1996,NOR-3,0,0,0,1,0,0
UGR,1996,NOR-4,0,0,0,0,1,0
UGR,1996,NOR-5,0,0,0,0,0,1
UGR,1997,HOR-3,1,0,0,0,0,0
UGR,1997,HOR-4,0,1,0,0,0,0
UGR,1997,HOR-5,0,0,1,0,0,0
UGR,1997,NOR-3,0,0,0,1,0,0
UGR,1997,NOR-4,0,0,0,0,1,0
UGR,1997,NOR-5,0,0,0,0,0,1
UGR,1998,HOR-3,1,0,0,0,0,0
UGR,1998,HOR-4,0,1,0,0,0,0
UGR,1998,HOR-5,0,0,1,0,0,0
UGR,1998,NOR-3,0,0,0,1,0,0
UGR,1998,NOR-4,0,0,0,0,1,0
UGR,1998,NOR-5,0,0,0,0,0,1
UGR,1999,HOR-3,1,0,0,0,0,0
UGR,1999,HOR-4,0,1,0,0,0,0
UGR,1999,HOR-5,0,0,1,0,0,0
UGR,1999,NOR-3,0,0,0,1,0,0
UGR,1999,NOR-4,0,0,0,0,1,0
UGR,1999,NOR-5,0,0,0,0,0,1
UGR,2000,HOR-3,1,0,0,0,0,0
UGR,2000,HOR-4,0,1,0,0,0,0
UGR,2000,HOR-5,0,0,1,0,0,0
UGR,2000,NOR-3,0,0,0,1,0,0
UGR,2000,NOR-4,0,0,0,0,1,0
UGR,2000,NOR-5,0,0,0,0,0,1
UGR,2001,HOR-3,1,0,0,0,0,0
UGR,2001,HOR-4,0,1,0,0,0,0
UGR,2001,HOR-5,0,0,1,0,0,0
UGR,2001,NOR-3,0,0,0,1,0,0
UGR,2001,NOR-4,0,0,0,0,1,0
UGR,2001,NOR-5,0,0,0,0,0,1
UGR,2002,HOR-3,1,0,0,0,0,0
UGR,2002,HOR-4,0,1,0,0,0,0
UGR,2002,HOR-5,0,0,1,0,0,0
UGR,2002,NOR-3,0,0,0,1,0,0
UGR,2002,NOR-4,0,0,0,0,1,0
UGR,2002,NOR-5,0,0,0,0,0,1
UGR,2003,HOR-3,1,0,0,0,0,0
UGR,2003,HOR-4,0,1,0,0,0,0
UGR,2003,HOR-5,0,0,1,0,0,0
UGR,2003,NOR-3,0,0,0,1,0,0
UGR,2003,NOR-4,0,0,0,0,1,0
UGR,2003,NOR-5,0,0,0,0,0,1
UGR,2004,HOR-3,1,0,0,0,0,0
UGR,2004,HOR-4,0,1,0,0,0,0
UGR,2004,HOR-5,0,0,1,0,0,0
UGR,2004,NOR-3,0,0,0,1,0,0
UGR,2004,NOR-4,0,0,0,0,1,0
UGR,2004,NOR-5,0,0,0,0,0,1
UGR,2005,HOR-3,1,0,0,0,0,0
UGR,2005,HOR-4,0,1,0,0,0,0
UGR,2005,HOR-5,0,0,1,0,0,0
UGR,2005,NOR-3,0,0,0,1,0,0
UGR,2005,NOR-4,0,0,0,0,1,0
UGR,2005,NOR-5,0,0,0,0,0,1
UGR,2006,HOR-3,1,0,0,0,0,0
UGR,2006,HOR-4,0,1,0,0,0,0
UGR,2006,HOR-5,0,0,1,0,0,0
UGR,2006,NOR-3,0.097,0,0,0.903,0,0
UGR,2006,NOR-4,0,0.097,0,0,0.903,0
UGR,2006,NOR-5,0,0,0.097,0,0,0.903
UGR,2007,HOR-3,1,0,0,0,0,0
UGR,2007,HOR-4,0,1,0,0,0,0
UGR,2007,HOR-5,0,0,1,0,0,0
UGR,2007,NOR-3,0.097,0,0,0.903,0,0
UGR,2007,NOR-4,0,0.097,0,0,0.903,0
UGR,2007,NOR-5,0,0,0.097,0,0,0.903
UGR,2008,HOR-3,1,0,0,0,0,0
UGR,2008,HOR-4,0,1,0,0,0,0
UGR,2008,HOR-5,0,0,1,0,0,0
UGR,2008,NOR-3,0.097,0,0,0.903,0,0
UGR,2008,NOR-4,0,0.097,0,0,0.903,0
UGR,2008,NOR-5,0,0,0.097,0,0,0.903
UGR,2009,HOR-3,1,0,0,0,0,0
UGR,2009,HOR-4,0,1,0,0,0,0
UGR,2009,HOR-5,0,0,1,0,0,0
UGR,2009,NOR-3,0.097,0,0,0.903,0,0
UGR,2009,NOR-4,0,0.097,0,0,0.903,0
UGR,2009,NOR-5,0,0,0.097,0,0,0.903
UGR,2010,HOR-3,1,0,0,0,0,0
UGR,2010,HOR-4,0,1,0,0,0,0
UGR,2010,HOR-5,0,0,1,0,0,0
UGR,2010,NOR-3,0.097,0,0,0.903,0,0
UGR,2010,NOR-4,0,0.097,0,0,0.903,0
UGR,2010,NOR-5,0,0,0.097,0,0,0.903
UGR,2011,HOR-3,1,0,0,0,0,0
UGR,2011,HOR-4,0,1,0,0,0,0
UGR,2011,HOR-5,0,0,1,0,0,0
UGR,2011,NOR-3,0.097,0,0,0.903,0,0
UGR,2011,NOR-4,0,0.097,0,0,0.903,0
UGR,2011,NOR-5,0,0,0.097,0,0,0.903
UGR,2012,HOR-3,1,0,0,0,0,0
UGR,2012,HOR-4,0,1,0,0,0,0
UGR,2012,HOR-5,0,0,1,0,0,0
UGR,2012,NOR-3,0.097,0,0,0.903,0,0
UGR,2012,NOR-4,0,0.097,0,0,0.903,0
UGR,2012,NOR-5,0,0,0.097,0,0,0.903
UGR,2013,HOR-3,1,0,0,0,0,0
UGR,2013,HOR-4,0,1,0,0,0,0
UGR,2013,HOR-5,0,0,1,0,0,0
UGR,2013,NOR-3,0.097,0,0,0.903,0,0
UGR,2013,NOR-4,0,0.097,0,0,0.903,0
UGR,2013,NOR-5,0,0,0.097,0,0,0.903
UGR,2014,HOR-3,1,0,0,0,0,0
UGR,2014,HOR-4,0,1,0,0,0,0
UGR,2014,HOR-5,0,0,1,0,0,0
UGR,2014,NOR-3,0.097,0,0,0.903,0,0
UGR,2014,NOR-4,0,0.097,0,0,0.903,0
UGR,2014,NOR-5,0,0,0.097,0,0,0.903
UGR,2015,HOR-3,1,0,0,0,0,0
UGR,2015,HOR-4,0,1,0,0,0,0
UGR,2015,HOR-5,0,0,1,0,0,0
UGR,2015,NOR-3,0.097,0,0,0.903,0,0
UGR,2015,NOR-4,0,0.097,0,0,0.903,0
UGR,2015,NOR-5,0,0,0.097,0,0,0.903
UGR,2016,HOR-3,1,0,0,0,0,0
UGR,2016,HOR-4,0,1,0,0,0,0
UGR,2016,HOR-5,0,0,1,0,0,0
UGR,2016,NOR-3,0.097,0,0,0.903,0,0
UGR,2016,NOR-4,0,0.097,0,0,0.903,0
UGR,2016,NOR-5,0,0,0.097,0,0,0.903
UGR,2017,HOR-3,1,0,0,0,0,0
UGR,2017,HOR-4,0,1,0,0,0,0
UGR,2017,HOR-5,0,0,1,0,0,0
UGR,2017,NOR-3,0.097,0,0,0.903,0,0
UGR,2017,NOR-4,0,0.097,0,0,0.903,0
UGR,2017,NOR-5,0,0,0.097,0,0,0.903
UGR,2018,HOR-3,1,0,0,0,0,0
UGR,2018,HOR-4,0,1,0,0,0,0
UGR,2018,HOR-5,0,0,1,0,0,0
UGR,2018,NOR-3,0.097,0,0,0.903,0,0
UGR,2018,NOR-4,0,0.097,0,0,0.903,0
UGR,2018,NOR-5,0,0,0.097,0,0,0.903
UGR,2019,HOR-3,1,0,0,0,0,0
UGR,2019,HOR-4,0,1,0,0,0,0
UGR,2019,HOR-5,0,0,1,0,0,0
UGR,2019,NOR-3,0.097,0,0,0.903,0,0
UGR,2019,NOR-4,0,0.097,0,0,0.903,0
UGR,2019,NOR-5,0,0,0.097,0,0,0.903
UGR,2020,HOR-3,1,0,0,0,0,0
UGR,2020,HOR-4,0,1,0,0,0,0
UGR,2020,HOR-5,0,0,1,0,0,0
UGR,2020,NOR-3,0.097,0,0,0.903,0,0
UGR,2020,NOR-4,0,0.097,0,0,0.903,0
UGR,2020,NOR-5,0,0,0.097,0,0,0.903
UGR,2021,HOR-3,1,0,0,0,0,0
UGR,2021,HOR-4,0,1,0,0,0,0
UGR,2021,HOR-5,0,0,1,0,0,0
UGR,2021,NOR-3,0.097,0,0,0.903,0,0
UGR,2021,NOR-4,0,0.097,0,0,0.903,0
UGR,2021,NOR-5,0,0,0.097,0,0,0.903
UGR,2022,HOR-3,1,0,0,0,0,0
UGR,2022,HOR-4,0,1,0,0,0,0
UGR,2022,HOR-5,0,0,1,0,0,0
UGR,2022,NOR-3,0.097,0,0,0.903,0,0
UGR,2022,NOR-4,0,0.097,0,0,0.903,0
UGR,2022,NOR-5,0,0,0.097,0,0,0.903
