"population","year","sex","prespawn"
"IMN",1991,"F","PreSpawn"
"IMN",1991,"F","Spawned"
"IMN",1991,"F","Spawned"
"IMN",1991,"F","Spawned"
"IMN",1991,"F","Spawned"
"IMN",1991,"F","Spawned"
"IMN",1991,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","PreSpawn"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1992,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","PreSpawn"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","PreSpawn"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","PreSpawn"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","PreSpawn"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1993,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1994,"F","Spawned"
"IMN",1995,"F","Spawned"
"IMN",1995,"F","Spawned"
"IMN",1995,"F","Spawned"
"IMN",1995,"F","Spawned"
"IMN",1995,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","PreSpawn"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1996,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","PreSpawn"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1997,"F","Spawned"
"IMN",1998,"F","Spawned"
"IMN",1998,"F","Spawned"
"IMN",1998,"F","PreSpawn"
"IMN",1998,"F","Spawned"
"IMN",1998,"F","Spawned"
"IMN",1998,"F","Spawned"
"IMN",1998,"F","Spawned"
"IMN",1998,"F","PreSpawn"
"IMN",1998,"F","Spawned"
"IMN",1998,"F","Spawned"
"IMN",1998,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","Spawned"
"IMN",1999,"F","PreSpawn"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","PreSpawn"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","PreSpawn"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2000,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","PreSpawn"
"IMN",2001,"F","PreSpawn"
"IMN",2001,"F","PreSpawn"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","PreSpawn"
"IMN",2001,"F","PreSpawn"
"IMN",2001,"F","Spawned"
"IMN",2001,"F","PreSpawn"
"IMN",2001,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","Spawned"
"IMN",2002,"F","PreSpawn"
"IMN",2002,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2003,"F","Spawned"
"IMN",2003,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","PreSpawn"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2004,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","PreSpawn"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2005,"F","Spawned"
"IMN",2006,"F","PreSpawn"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","PreSpawn"
"IMN",2006,"F","PreSpawn"
"IMN",2006,"F","PreSpawn"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","PreSpawn"
"IMN",2007,"F","PreSpawn"
"IMN",2007,"F","PreSpawn"
"IMN",2007,"F","PreSpawn"
"IMN",2007,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","PreSpawn"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
"IMN",2009,"F","Spawned"
